Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note,zero_calorie,zero_protein,zero_carbs,zero_fats,cal_macro_discrepancy,macro_pct_diff,macro_mismatch,likely_alcohol,Estimated Alcohol (g)
2024-02-28,Lunch,530.7,19.8,3.2,0.8,3.7,0.0,20.0,1021.8,595.6,56.1,4.8,5.8,31.6,36.9,53.3,7.0,5.2,,False,False,False,False,1.7000000000000455,0.003203316374599671,False,False,0.0
2024-02-29,Dinner,47.4,2.0,1.3,0.0,0.0,0.0,0.0,7.8,0.0,4.1,0.0,3.3,3.1,0.0,0.0,0.0,0.0,,False,False,False,False,0.6000000000000014,0.012658227848101297,False,False,0.0
2024-03-01,Breakfast,195.0,10.8,6.9,0.0,0.0,0.0,0.0,120.0,523.5,14.1,0.0,14.1,11.7,6.0,0.0,45.9,0.0,,False,False,False,False,-5.399999999999977,0.027692307692307575,False,False,0.0
2024-03-01,Lunch,576.9,34.1,7.5,6.5,17.9,0.0,159.8,812.6,303.2,28.5,3.0,4.8,32.5,29.0,16.0,7.1,17.5,,False,False,False,False,25.999999999999886,0.045068469405442686,False,False,0.0
2024-03-02,Dinner,652.0,30.4,14.2,3.0,9.7,0.0,9.0,180.5,18.0,74.1,7.5,4.6,24.8,2.0,0.0,7.0,0.3,,False,False,False,False,-17.199999999999932,0.026380368098159405,False,False,0.0
2024-03-02,Lunch,403.5,12.7,2.1,0.0,0.0,0.0,20.0,1006.4,63.4,41.0,1.5,2.4,29.1,34.3,17.9,0.4,2.0,,False,False,False,False,8.800000000000011,0.021809169764560127,False,False,0.0
2024-03-07,Breakfast,327.7,17.0,4.7,0.0,0.0,0.0,0.0,164.3,0.0,39.2,0.9,13.9,4.8,0.0,0.0,0.0,0.0,,False,False,False,False,-1.3000000000000114,0.0039670430271590215,False,False,0.0
2024-03-07,Lunch,232.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,True,True,True,232.5,1.0,True,True,33.214285714285715
2024-03-18,Breakfast,564.1,27.2,15.8,0.0,0.0,0.0,0.0,365.3,610.8,57.8,1.9,16.6,24.5,7.0,0.0,53.6,0.0,,False,False,False,False,-9.899999999999977,0.01755007977308984,False,False,0.0
2024-03-18,Lunch,415.9,29.5,6.0,3.6,12.6,0.0,395.7,501.0,596.1,15.1,7.1,4.0,24.1,32.3,19.6,18.9,17.3,,False,False,False,False,-6.400000000000034,0.01538831449867765,False,False,0.0
2024-03-19,Breakfast,651.7,28.6,10.6,2.8,5.1,0.0,137.7,1029.8,1513.7,49.3,5.7,34.6,52.8,10.2,17.1,39.7,8.6,,False,False,False,False,-14.099999999999909,0.021635721957955975,False,False,0.0
2024-03-19,Dinner,552.2,20.6,8.8,0.4,1.6,0.0,19.5,1787.6,129.3,78.9,8.5,7.9,19.1,0.0,8.3,1.8,4.9,,False,False,False,False,-25.199999999999932,0.04563563926113714,False,False,0.0
2024-03-20,Breakfast,202.5,5.8,3.5,0.1,0.0,0.0,0.0,61.2,684.2,34.1,3.1,21.5,7.2,8.0,17.1,23.6,1.7,,False,False,False,False,-14.900000000000006,0.07358024691358027,False,False,0.0
2024-03-20,Lunch,462.4,14.2,6.2,0.5,1.7,0.0,19.5,137.7,306.2,76.5,9.8,20.1,13.6,0.0,16.9,2.5,5.0,,False,False,False,False,-25.80000000000001,0.05579584775086508,False,False,0.0
2024-03-20,Snacks,160.0,5.6,3.6,0.0,0.4,0.1,60.0,44.0,0.0,15.5,0.0,15.4,11.4,0.0,0.0,15.0,0.0,,False,False,False,False,2.0,0.0125,False,False,0.0
2024-03-21,Breakfast,388.1,17.3,9.6,0.4,2.5,0.0,25.8,137.4,264.7,45.3,1.7,7.1,14.8,3.0,0.0,23.3,0.0,,False,False,False,False,-8.0,0.020613244009275958,False,False,0.0
2024-03-22,Breakfast,385.8,20.9,9.6,2.1,5.0,0.0,384.9,240.7,401.2,26.9,0.9,7.5,23.0,3.0,0.0,28.7,9.7,,False,False,False,False,-1.8999999999999773,0.004924831518921662,False,False,0.0
2024-03-22,Lunch,1211.3,56.6,25.7,2.4,8.6,0.0,375.1,5294.0,342.5,129.1,2.0,15.8,64.2,4.5,2.0,24.6,8.3,,False,False,False,False,-71.30000000000018,0.05886237926195012,False,False,0.0
2024-04-15,Breakfast,521.8,14.5,3.6,2.0,3.6,0.0,370.0,124.0,138.0,67.3,2.4,20.4,28.4,4.0,0.0,6.0,10.0,,False,False,False,False,8.5,0.016289766193944042,False,False,0.0
2024-05-17,Breakfast,300.0,7.9,4.6,0.0,0.0,0.0,0.0,80.6,349.0,37.3,7.7,19.7,17.8,4.0,0.0,30.6,0.0,,False,False,False,False,8.5,0.028333333333333332,False,False,0.0
2024-05-24,Breakfast,208.0,11.5,7.4,0.0,0.0,0.0,0.0,128.0,558.4,15.0,0.0,15.0,12.5,6.4,0.0,49.0,0.0,,False,False,False,False,-5.5,0.026442307692307692,False,False,0.0
2024-05-24,Lunch,475.6,12.5,5.2,0.0,0.0,0.0,0.0,967.5,0.0,57.3,4.6,10.6,31.6,0.0,0.0,0.0,0.0,,False,False,False,False,7.5,0.01576955424726661,False,False,0.0
2024-05-25,Breakfast,465.7,35.7,7.7,4.0,4.8,0.0,213.4,221.2,722.5,13.0,1.0,11.4,25.6,4.0,3.4,33.4,7.5,,False,False,False,False,-10.000000000000057,0.021473051320592778,False,False,0.0
2024-05-28,Lunch,206.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0,0.0,,False,False,True,False,-0.19999999999998863,0.0009708737864077118,False,False,0.0
2024-06-02,Breakfast,78.0,4.3,2.8,0.0,0.0,0.0,0.0,48.0,209.4,5.6,0.0,5.6,4.7,2.4,0.0,18.4,0.0,,False,False,False,False,-1.9000000000000057,0.024358974358974432,False,False,0.0
2024-06-02,Dinner,812.8,40.5,12.9,4.6,10.1,0.0,202.0,1482.6,786.2,46.6,7.0,4.9,70.7,27.7,76.2,23.3,6.0,,False,False,False,False,-20.90000000000009,0.025713582677165468,False,False,0.0
2024-06-02,Lunch,505.7,22.0,3.8,0.1,0.0,0.0,0.0,1633.2,8.0,47.3,6.3,5.1,35.8,1.8,1.4,0.8,1.9,,False,False,False,False,-24.69999999999999,0.04884318766066836,False,False,0.0
2024-06-02,Snacks,33.6,1.0,0.2,0.3,0.0,0.0,0.0,1939.2,268.8,4.8,2.4,3.1,1.2,0.0,8.4,13.0,3.1,,False,False,False,False,0.6000000000000014,0.017857142857142898,False,False,0.0
2024-06-03,Breakfast,196.7,5.3,3.1,0.2,0.1,0.0,0.0,55.7,645.8,34.3,1.5,29.3,7.4,2.6,50.5,22.5,5.0,,False,False,False,False,-17.799999999999983,0.09049313675648187,False,False,0.0
2024-06-03,Dinner,502.0,18.9,16.2,0.0,0.0,0.0,0.0,0.8,0.0,60.1,3.4,3.8,23.1,0.0,0.0,0.0,0.0,,False,False,False,False,-0.8999999999999773,0.0017928286852589188,False,False,0.0
2024-06-03,Lunch,478.4,14.6,2.7,3.5,4.5,0.0,103.2,403.3,748.6,51.0,4.7,7.0,39.9,101.3,105.7,3.4,7.0,,False,False,False,False,-16.600000000000023,0.03469899665551844,False,False,0.0
2024-06-03,Snacks,320.5,4.7,0.9,0.6,1.5,0.0,86.0,330.0,508.0,25.0,0.8,12.4,47.0,0.0,27.0,2.7,5.3,,False,False,False,False,-9.800000000000011,0.03057722308892359,False,False,0.0
2024-06-04,Breakfast,78.0,4.3,2.8,0.0,0.0,0.0,0.0,48.0,209.4,5.6,0.0,5.6,4.7,2.4,0.0,18.4,0.0,,False,False,False,False,-1.9000000000000057,0.024358974358974432,False,False,0.0
2024-06-04,Dinner,513.6,23.0,6.4,0.7,2.2,0.0,129.0,504.3,796.6,25.1,4.5,3.9,53.1,0.0,0.0,7.3,11.6,,False,False,False,False,-6.199999999999932,0.012071651090342545,False,False,0.0
2024-06-04,Lunch,555.3,23.6,4.0,5.6,6.4,0.0,205.5,1360.5,66.0,39.7,0.6,0.3,47.1,0.0,0.0,2.4,4.6,,False,False,False,False,-4.300000000000068,0.007743562038537851,False,False,0.0
2024-06-05,Breakfast,190.0,4.8,3.1,0.0,0.0,0.0,0.0,48.0,209.4,15.1,0.7,14.1,22.3,2.4,0.0,18.4,0.0,,False,False,False,False,-2.799999999999983,0.014736842105263067,False,False,0.0
2024-06-05,Dinner,679.4,41.2,4.7,11.5,10.6,0.0,0.0,1358.0,515.4,41.7,7.8,4.0,39.2,0.0,223.0,11.4,11.1,,False,False,False,False,-15.000000000000114,0.022078304386223307,False,False,0.0
2024-06-05,Lunch,490.9,16.4,7.4,0.6,1.7,0.0,103.2,395.7,340.8,45.9,2.9,5.2,42.1,0.4,3.2,1.6,4.7,,False,False,False,False,-8.700000000000045,0.01772255041760042,False,False,0.0
2024-06-05,Snacks,169.3,8.4,1.4,0.2,0.7,0.0,43.0,164.0,142.0,7.2,0.0,5.5,16.3,0.0,0.0,0.7,1.3,,False,False,False,False,-0.30000000000001137,0.0017720023626698839,False,False,0.0
2024-06-06,Breakfast,78.0,4.3,2.8,0.0,0.0,0.0,0.0,48.0,209.4,5.6,0.0,5.6,4.7,2.4,0.0,18.4,0.0,,False,False,False,False,-1.9000000000000057,0.024358974358974432,False,False,0.0
2024-06-06,Dinner,581.0,30.3,11.6,0.0,0.0,0.0,0.0,66.8,301.1,50.2,2.7,14.5,26.1,0.0,7.2,1.6,3.8,,False,False,False,False,3.099999999999909,0.005335628227194336,False,False,0.0
2024-06-06,Lunch,564.8,17.6,8.4,0.7,2.2,0.0,129.0,988.7,771.0,48.3,4.7,9.6,56.1,0.0,5.0,2.0,8.8,,False,False,False,False,-11.200000000000045,0.01983002832861198,False,False,0.0
2024-06-06,Snacks,157.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,1.6,9.6,20.0,0.0,0.0,0.0,0.0,,False,False,False,False,-3.5999999999999943,0.022929936305732448,False,False,0.0
