Date,Calories,Protein (g),Carbohydrates (g),Fat (g),Estimated Alcohol (g),missing_main_meal,Meal
2024-02-28,530.7,31.6,56.1,19.8,0.0,True,1
2024-02-29,47.4,3.1,4.1,2.0,0.0,True,1
2024-03-01,771.9,44.2,42.6,44.900000000000006,0.0,True,2
2024-03-02,1055.5,53.900000000000006,115.1,43.099999999999994,0.0,True,2
2024-03-07,560.2,4.8,39.2,17.0,33.214285714285715,True,2
2024-03-18,980.0,48.6,72.89999999999999,56.7,0.0,True,2
2024-03-19,1203.9,71.9,128.2,49.2,0.0,False,2
2024-03-20,824.9,32.2,126.1,25.6,0.0,True,3
2024-03-21,388.1,14.8,45.3,17.3,0.0,True,1
2024-03-22,1597.1,87.2,156.0,77.5,0.0,True,2
2024-04-15,521.8,28.4,67.3,14.5,0.0,True,1
2024-05-17,300.0,17.8,37.3,7.9,0.0,True,1
2024-05-24,683.6,44.1,72.3,24.0,0.0,True,2
2024-05-25,465.7,25.6,13.0,35.7,0.0,True,1
2024-05-28,206.0,19.6,0.0,14.2,0.0,True,1
2024-06-02,1430.1,112.4,104.3,67.8,0.0,False,4
2024-06-03,1497.6,117.4,170.4,43.5,0.0,False,4
2024-06-04,1146.9,104.9,70.4,50.900000000000006,0.0,False,3
2024-06-05,1529.6,119.9,109.9,70.8,0.0,False,4
2024-06-06,1380.8,106.9,117.5,55.2,0.0,False,4
2024-06-07,1545.6,125.0,128.2,60.6,0.0,False,4
2024-06-08,1211.7,117.0,87.9,41.5,0.0,True,2
2024-06-09,2704.7,128.2,278.7,120.80000000000001,0.0,False,4
2024-06-10,1256.5,59.7,130.0,57.2,0.0,False,4
2024-06-11,1284.5,79.4,100.0,63.6,0.0,False,4
2024-06-12,1337.1999999999998,83.8,95.7,69.8,0.0,False,4
2024-06-13,1349.9,102.89999999999999,81.4,69.5,0.0,False,4
2024-06-14,1095.6,74.8,98.5,45.199999999999996,0.0,False,4
2024-06-15,1077.8,55.0,58.9,70.9,0.0,False,1
2024-06-16,1046.6999999999998,58.0,83.9,52.7,0.0,False,2
2024-06-17,1169.1,91.10000000000001,95.0,47.9,0.0,False,4
2024-06-18,1123.5,94.2,101.1,40.4,0.0,False,3
2024-06-19,1270.8,86.3,140.4,40.0,0.0,False,4
2024-06-20,1420.6,89.9,158.1,50.5,0.0,False,3
2024-06-21,1575.0,81.4,175.9,65.8,0.0,True,3
2024-06-22,1196.5,74.3,86.1,62.7,0.0,False,3
2024-06-23,1345.7,110.9,91.10000000000001,60.1,0.0,False,4
2024-06-24,1161.9,76.4,70.7,68.10000000000001,0.0,False,4
2024-06-25,1390.0,110.9,104.4,62.800000000000004,0.0,False,4
2024-06-26,1303.8,120.5,103.2,47.8,0.0,False,4
2024-06-27,1312.7,122.4,103.0,47.8,0.0,False,4
2024-06-28,1219.8,71.5,93.0,65.0,0.0,False,4
2024-06-29,1164.8,83.6,56.199999999999996,68.60000000000001,0.0,False,4
2024-06-30,1464.0,98.19999999999999,138.5,59.9,0.0,False,4
2024-07-01,1415.6,81.5,143.9,59.099999999999994,0.0,False,4
2024-07-02,1181.5,78.9,73.30000000000001,64.4,0.0,False,4
2024-07-03,1527.3000000000002,73.3,167.10000000000002,62.2,0.0,False,4
2024-07-04,1330.9,65.19999999999999,134.4,59.6,0.0,False,4
2024-07-05,1715.9,95.69999999999999,157.6,78.5,0.0,False,4
2024-07-06,1694.6,102.8,177.2,64.5,0.0,False,4
2024-07-07,1665.6999999999998,95.3,130.39999999999998,86.8,0.0,False,4
2024-07-08,1419.1999999999998,81.5,143.9,58.8,0.0,False,3
2024-07-09,1637.6,99.1,114.60000000000001,40.1,61.42857142857143,False,4
2024-07-10,1119.6999999999998,81.5,117.0,36.4,0.0,False,4
2024-07-11,1716.3,90.3,98.0,108.0,0.0,False,4
2024-07-12,1591.7,84.10000000000001,86.7,102.9,0.0,False,4
2024-07-13,2213.1,87.4,265.1,93.8,0.0,False,4
2024-07-14,1331.4,70.5,129.7,58.400000000000006,0.0,False,4
2024-07-15,1734.1,93.8,162.8,80.3,0.0,False,4
2024-07-16,1438.9,93.7,119.4,67.5,0.0,False,4
2024-07-17,663.6,34.8,46.7,38.5,0.0,False,2
2024-07-18,1251.9,95.4,116.4,42.0,0.0,False,3
2024-07-19,1000.5,69.7,93.8,39.4,0.0,False,4
2024-07-20,806.5999999999999,56.0,81.1,29.1,0.0,False,2
2024-07-21,2133.0,92.5,207.4,105.99999999999999,0.0,False,4
2024-07-22,1681.1,114.6,136.6,74.0,0.0,False,4
2024-07-23,1319.9,87.1,107.80000000000001,62.4,0.0,False,4
2024-07-24,1541.2,75.7,144.0,77.2,0.0,False,3
2024-07-25,1505.2,87.6,101.2,85.8,0.0,False,4
2024-07-26,1590.0,106.1,146.9,63.0,0.0,True,2
2024-07-27,316.8,16.2,37.3,12.5,0.0,True,1
2024-07-28,822.0,45.5,82.9,35.8,0.0,False,2
2024-07-29,1144.5,62.8,83.3,64.6,0.0,False,3
2024-07-30,178.4,14.3,11.2,8.9,0.0,True,2
2024-07-31,2172.6,77.7,253.10000000000002,96.4,0.0,False,4
2024-08-01,772.0,47.0,88.2,27.0,0.0,False,4
2024-08-02,682.2,45.5,53.7,31.400000000000002,0.0,True,3
2024-08-03,156.0,9.4,11.2,8.6,0.0,True,1
2024-08-04,554.2,34.400000000000006,38.9,30.299999999999997,0.0,True,2
2024-08-05,1346.4,75.80000000000001,130.1,57.5,0.0,False,4
2024-08-06,1260.2,70.0,132.10000000000002,51.9,0.0,False,3
2024-08-07,1609.6999999999998,78.4,145.10000000000002,81.8,0.0,False,4
2024-08-08,1304.0,100.6,115.5,51.6,0.0,False,3
2024-08-09,1772.3,82.8,173.5,82.10000000000001,0.0,False,4
2024-08-10,1648.0,96.5,108.8,100.3,0.0,False,3
2024-08-11,2237.9,131.2,224.9,90.2,0.0,False,4
2024-08-12,1066.0,81.39999999999999,47.9,59.0,0.0,False,4
2024-08-13,739.6,57.3,41.6,36.0,0.0,False,3
2024-08-14,206.0,15.4,11.2,11.6,0.0,True,1
2024-08-15,1158.0,82.80000000000001,111.7,42.5,0.0,False,4
2024-08-16,626.3,34.5,63.6,26.299999999999997,0.0,True,2
2024-08-17,1403.2,60.5,117.4,79.5,0.0,False,4
2024-08-18,1448.4,67.2,156.6,62.7,0.0,False,4
2024-08-19,1416.3,72.5,180.0,46.8,0.0,False,4
2024-08-20,699.9,25.0,68.8,37.3,0.0,True,3
2024-08-21,1216.7,76.4,122.4,47.3,0.0,False,3
2024-08-22,522.6,37.2,60.699999999999996,14.0,0.0,True,2
2024-08-30,791.5,48.0,66.5,37.4,0.0,True,2
2024-08-31,301.0,11.8,27.7,16.0,0.0,True,1
2024-09-03,1048.0,86.5,88.2,40.4,0.0,False,4
2024-09-04,803.8,57.4,61.300000000000004,37.7,0.0,True,3
2024-09-06,584.9,46.199999999999996,53.2,21.5,0.0,True,2
2024-09-09,217.0,14.0,11.7,13.1,0.0,True,1
2024-09-11,718.9,54.300000000000004,47.800000000000004,36.5,0.0,True,3
2024-09-13,684.5,71.3,37.6,28.5,0.0,True,2
2024-09-14,642.0,34.4,45.2,35.6,0.0,True,2
2024-09-19,206.0,15.4,11.2,11.6,0.0,True,1
2024-09-20,776.0,47.9,75.6,33.0,0.0,True,2
2024-09-21,670.3,39.5,48.900000000000006,35.5,0.0,True,3
2024-09-22,428.0,9.2,38.1,26.8,0.0,True,2
2024-09-23,761.3,46.0,73.7,32.5,0.0,False,3
2024-10-05,137.8,7.2,10.8,7.8,0.0,True,1
2024-10-07,156.0,8.2,12.2,8.8,0.0,True,1
2024-10-08,837.3,32.6,102.89999999999999,35.4,0.0,True,2
2024-10-09,496.1,13.8,56.4,23.1,0.0,True,1
2024-10-13,349.0,9.899999999999999,45.2,14.9,0.0,True,2
2024-10-16,332.4,17.5,35.5,12.9,0.0,True,1
2024-10-28,874.9,32.0,101.3,37.1,0.0,False,2
2024-10-29,1458.9,55.2,161.89999999999998,65.3,0.0,False,3
2024-10-30,703.9,40.6,44.800000000000004,41.6,0.0,False,2
2024-10-31,1476.0,55.1,166.7,66.8,0.0,False,3
2024-11-01,1540.7,76.6,117.19999999999999,86.0,0.0,False,4
2024-11-02,1434.6000000000001,50.3,138.8,73.5,0.0,False,3
2024-11-03,1657.6000000000001,101.6,158.39999999999998,66.9,0.0,False,4
2024-11-04,1580.9,91.8,124.6,77.39999999999999,0.0,False,4
2024-11-05,1356.2,106.7,94.8,61.7,0.0,False,3
2024-11-06,673.6,54.0,47.900000000000006,29.900000000000002,0.0,False,2
