Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2024-03-19,MFP iOS calorie adjustment,Cardio,5.0,1,,,,2270,
2024-03-20,MFP iOS calorie adjustment,Cardio,244.0,1,,,,14668,
2024-03-21,MFP iOS calorie adjustment,Cardio,12.0,1,,,,1764,
2024-03-22,MFP iOS calorie adjustment,Cardio,27.0,1,,,,2672,
2024-03-23,MFP iOS calorie adjustment,Cardio,2.0,1,,,,954,
2024-03-24,MFP iOS calorie adjustment,Cardio,21.0,1,,,,2865,
2024-03-25,MFP iOS calorie adjustment,Cardio,1.0,1,,,,182,
2024-04-08,MFP iOS calorie adjustment,Cardio,0.0,1,,,,626,
2024-04-09,MFP iOS calorie adjustment,Cardio,0.0,1,,,,832,
2024-04-10,MFP iOS calorie adjustment,Cardio,0.0,1,,,,764,
2024-04-11,MFP iOS calorie adjustment,Cardio,139.0,1,,,,8948,
2024-04-12,MFP iOS calorie adjustment,Cardio,5.0,1,,,,1361,
2024-04-13,MFP iOS calorie adjustment,Cardio,108.0,1,,,,7450,
2024-04-14,MFP iOS calorie adjustment,Cardio,32.0,1,,,,3035,
2024-04-15,MFP iOS calorie adjustment,Cardio,2.0,1,,,,477,
2024-05-10,MFP iOS calorie adjustment,Cardio,32.0,1,,,,4336,
2024-05-11,MFP iOS calorie adjustment,Cardio,81.0,1,,,,7409,
2024-05-12,MFP iOS calorie adjustment,Cardio,42.0,1,,,,4961,
2024-05-13,MFP iOS calorie adjustment,Cardio,10.0,1,,,,2270,
2024-05-14,MFP iOS calorie adjustment,Cardio,2.0,1,,,,1327,
2024-05-15,MFP iOS calorie adjustment,Cardio,27.0,1,,,,2741,
2024-05-16,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1045,
2024-05-17,MFP iOS calorie adjustment,Cardio,43.0,1,,,,3517,
2024-05-18,MFP iOS calorie adjustment,Cardio,42.0,1,,,,3272,
2024-05-19,MFP iOS calorie adjustment,Cardio,24.0,1,,,,2468,
2024-05-20,MFP iOS calorie adjustment,Cardio,207.0,1,,,,14071,
2024-05-21,MFP iOS calorie adjustment,Cardio,11.0,1,,,,1476,
