Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2024-02-28,Lunch,530.7,19.8,3.2,0.8,3.7,0.0,20.0,1021.8,595.6,56.1,4.8,5.8,31.6,36.9,53.3,7.0,5.2,
2024-02-29,Dinner,47.4,2.0,1.3,0.0,0.0,0.0,0.0,7.8,0.0,4.1,0.0,3.3,3.1,0.0,0.0,0.0,0.0,
2024-03-01,Breakfast,195.0,10.8,6.9,0.0,0.0,0.0,0.0,120.0,523.5,14.1,0.0,14.1,11.7,6.0,0.0,45.9,0.0,
2024-03-01,Lunch,576.9,34.1,7.5,6.5,17.9,0.0,159.8,812.6,303.2,28.5,3.0,4.8,32.5,29.0,16.0,7.1,17.5,
2024-03-02,Dinner,652.0,30.4,14.2,3.0,9.7,0.0,9.0,180.5,18.0,74.1,7.5,4.6,24.8,2.0,0.0,7.0,0.3,
2024-03-02,Lunch,403.5,12.7,2.1,0.0,0.0,0.0,20.0,1006.4,63.4,41.0,1.5,2.4,29.1,34.3,17.9,0.4,2.0,
2024-03-07,Breakfast,327.7,17.0,4.7,0.0,0.0,0.0,0.0,164.3,0.0,39.2,0.9,13.9,4.8,0.0,0.0,0.0,0.0,
2024-03-07,Lunch,232.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-03-18,Breakfast,564.1,27.2,15.8,0.0,0.0,0.0,0.0,365.3,610.8,57.8,1.9,16.6,24.5,7.0,0.0,53.6,0.0,
2024-03-18,Lunch,415.9,29.5,6.0,3.6,12.6,0.0,395.7,501.0,596.1,15.1,7.1,4.0,24.1,32.3,19.6,18.9,17.3,
2024-03-19,Breakfast,651.7,28.6,10.6,2.8,5.1,0.0,137.7,1029.8,1513.7,49.3,5.7,34.6,52.8,10.2,17.1,39.7,8.6,
2024-03-19,Dinner,552.2,20.6,8.8,0.4,1.6,0.0,19.5,1787.6,129.3,78.9,8.5,7.9,19.1,0.0,8.3,1.8,4.9,
2024-03-19,Lunch,87.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,333.0,22.0,4.4,17.0,1.7,8.0,163.0,7.0,1.0,
2024-03-20,Breakfast,202.5,5.8,3.5,0.1,0.0,0.0,0.0,61.2,684.2,34.1,3.1,21.5,7.2,8.0,17.1,23.6,1.7,
2024-03-20,Lunch,462.4,14.2,6.2,0.5,1.7,0.0,19.5,137.7,306.2,76.5,9.8,20.1,13.6,0.0,16.9,2.5,5.0,
2024-03-20,Snacks,160.0,5.6,3.6,0.0,0.4,0.1,60.0,44.0,0.0,15.5,0.0,15.4,11.4,0.0,0.0,15.0,0.0,
2024-03-21,Breakfast,388.1,17.3,9.6,0.4,2.5,0.0,25.8,137.4,264.7,45.3,1.7,7.1,14.8,3.0,0.0,23.3,0.0,
2024-03-22,Breakfast,385.8,20.9,9.6,2.1,5.0,0.0,384.9,240.7,401.2,26.9,0.9,7.5,23.0,3.0,0.0,28.7,9.7,
2024-03-22,Lunch,1211.3,56.6,25.7,2.4,8.6,0.0,375.1,5294.0,342.5,129.1,2.0,15.8,64.2,4.5,2.0,24.6,8.3,
2024-04-15,Breakfast,521.8,14.5,3.6,2.0,3.6,0.0,370.0,124.0,138.0,67.3,2.4,20.4,28.4,4.0,0.0,6.0,10.0,
2024-05-17,Breakfast,300.0,7.9,4.6,0.0,0.0,0.0,0.0,80.6,349.0,37.3,7.7,19.7,17.8,4.0,0.0,30.6,0.0,
2024-05-24,Breakfast,208.0,11.5,7.4,0.0,0.0,0.0,0.0,128.0,558.4,15.0,0.0,15.0,12.5,6.4,0.0,49.0,0.0,
2024-05-24,Lunch,475.6,12.5,5.2,0.0,0.0,0.0,0.0,967.5,0.0,57.3,4.6,10.6,31.6,0.0,0.0,0.0,0.0,
2024-05-25,Breakfast,465.7,35.7,7.7,4.0,4.8,0.0,213.4,221.2,722.5,13.0,1.0,11.4,25.6,4.0,3.4,33.4,7.5,
2024-05-28,Lunch,206.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0,0.0,
2024-06-02,Breakfast,78.0,4.3,2.8,0.0,0.0,0.0,0.0,48.0,209.4,5.6,0.0,5.6,4.7,2.4,0.0,18.4,0.0,
2024-06-02,Dinner,812.8,40.5,12.9,4.6,10.1,0.0,202.0,1482.6,786.2,46.6,7.0,4.9,70.7,27.7,76.2,23.3,6.0,
2024-06-02,Lunch,505.7,22.0,3.8,0.1,0.0,0.0,0.0,1633.2,8.0,47.3,6.3,5.1,35.8,1.8,1.4,0.8,1.9,
2024-06-02,Snacks,33.6,1.0,0.2,0.3,0.0,0.0,0.0,1939.2,268.8,4.8,2.4,3.1,1.2,0.0,8.4,13.0,3.1,
2024-06-03,Breakfast,196.7,5.3,3.1,0.2,0.1,0.0,0.0,55.7,645.8,34.3,1.5,29.3,7.4,2.6,50.5,22.5,5.0,
2024-06-03,Dinner,502.0,18.9,16.2,0.0,0.0,0.0,0.0,0.8,0.0,60.1,3.4,3.8,23.1,0.0,0.0,0.0,0.0,
2024-06-03,Lunch,478.4,14.6,2.7,3.5,4.5,0.0,103.2,403.3,748.6,51.0,4.7,7.0,39.9,101.3,105.7,3.4,7.0,
2024-06-03,Snacks,320.5,4.7,0.9,0.6,1.5,0.0,86.0,330.0,508.0,25.0,0.8,12.4,47.0,0.0,27.0,2.7,5.3,
2024-06-04,Breakfast,78.0,4.3,2.8,0.0,0.0,0.0,0.0,48.0,209.4,5.6,0.0,5.6,4.7,2.4,0.0,18.4,0.0,
